batchId,toolOrder,canonicalToolId,language,primaryKeyword,localizedSlug,localizedUrl,h1,metaTitle,metaDescription,source,status
B04,1,meme-text-generator,es,generador de meme text,generador-meme-text,https://taptogen.com/es/tools/generador-meme-text/,Generador de Meme Text,Generador de Meme Text gratis,"Crea borradores claros en español y revisa cada resultado antes de usarlo. Revisa exactitud, originalidad, compatibilidad y reglas del proyecto antes de publicar. Comprueba originalidad, sensibilidad, derechos y disponib",built_dist,PASS
B04,1,meme-text-generator,fr,générateur de meme text,generateur-meme-text,https://taptogen.com/fr/tools/generateur-meme-text/,Générateur de Meme Text,Générateur de Meme Text gratuit,"Créez des brouillons clairs en français et vérifiez chaque resultat avant usage. Verifiez exactitude, originalité, compatibilité et regles du projet avant publication. Verifiez originalité, sensibilite, droits et disponi",built_dist,PASS
B04,1,meme-text-generator,de,generator für meme text,generator-meme-text,https://taptogen.com/de/tools/generator-meme-text/,Generator für Meme Text,Generator für Meme Text kostenlos,"Erstelle klare Entwürfe auf Deutsch und prüfe jedes Ergebnis vor der Nutzung. Prüfe Genauigkeit, Originalitaet, Kompatibilität und Projektregeln vor der Veroeffentlichung. Prüfe Originalitaet, Sensibilitaet, Rechte ",built_dist,PASS
B04,1,meme-text-generator,pt,gerador de meme text,gerador-meme-text,https://taptogen.com/pt/tools/gerador-meme-text/,Gerador de Meme Text,Gerador de Meme Text gratis,"Crie rascunhos claros em português e revise cada resultado antes de usar. Revise precisao, originalidade, compatibilidade e regras do projeto antes de publicar. Verifique originalidade, sensibilidade, direitos e disponib",built_dist,PASS
B04,1,meme-text-generator,it,generatore di meme text,generatore-meme-text,https://taptogen.com/it/tools/generatore-meme-text/,Generatore di Meme Text,Generatore di Meme Text gratis,"Crea bozze chiare in italiano e controlla ogni risultato prima di usarlo. Controlla accuratezza, originalità, compatibilità e regole del progetto prima della pubblicazione. Controlla originalità, sensibilita, diritti e d",built_dist,PASS
B04,1,meme-text-generator,pl,generator meme text,generator-meme-text,https://taptogen.com/pl/tools/generator-meme-text/,Generator Meme Text,Generator Meme Text za darmo,"Twórz jasne wersje robocze po polsku i sprawdźaj wynik przed użyciem. Sprawdź dokładność, oryginalność, zgodność i zasady projektu przed publikacją. Sprawdź oryginalność, wrazliwosc, prawa i dostępność przed publicznym u",built_dist,PASS
B04,1,meme-text-generator,ru,generator meme text,generator-meme-text,https://taptogen.com/ru/tools/generator-meme-text/,Generator Meme Text,Generator Meme Text besplatno,"Sozdavaite ponyatnye chernoviki na russkom i proveriaite rezultat pered ispolzovaniem. Proverte tochnost, originalnost, sovmestimost i pravila proekta pered publikatsiei. Proverte originalnost, delikatnost, prava i dostu",built_dist,PASS
B04,1,meme-text-generator,tr,olusturucu meme text,olusturucu-meme-text,https://taptogen.com/tr/tools/olusturucu-meme-text/,Olusturucu Meme Text,Olusturucu Meme Text ucretsiz,"Turkce net taslaklar olusturun ve kullanmadan once sonucu kontrol edin. Yayinlamadan once dogruluk, ozgunluk, uyumluluk ve proje kurallarini kontrol edin. Halka acik kullanimdan once ozgunluk, hassasiyet, haklar ve uygun",built_dist,PASS
B04,1,meme-text-generator,id,generator meme text,generator-meme-text,https://taptogen.com/id/tools/generator-meme-text/,Generator Meme Text,Generator Meme Text gratis,"Buat draf yang jelas dalam bahasa Indonesia dan tinjau hasil sebelum digunakan. Periksa akurasi, orisinalitas, kompatibilitas, dan aturan proyek sebelum menerbitkan. Periksa orisinalitas, sensitivitas, hak, dan ketersedi",built_dist,PASS
B04,1,meme-text-generator,sv,generator for meme text,generator-meme-text,https://taptogen.com/sv/tools/generator-meme-text/,Generator for Meme Text,Generator for Meme Text gratis,"Skapa tydliga utkast pa svenska och granska resultatet innan du anvander det. Kontrollera noggrannhet, originalitet, kompatibilitet och projektregler fore publicering. Kontrollera originalitet, kanslighet, rattigheter oc",built_dist,PASS
B04,1,meme-text-generator,ms,penjana meme text,penjana-meme-text,https://taptogen.com/ms/tools/penjana-meme-text/,Penjana Meme Text,Penjana Meme Text percuma,"Cipta draf jelas dalam Bahasa Melayu dan semak hasil sebelum digunakan. Semak ketepatan, keaslian, keserasian dan peraturan projek sebelum diterbitkan. Semak keaslian, sensitiviti, hak dan ketersediaan sebelum penggunaan",built_dist,PASS
B04,1,meme-text-generator,bg,generator za meme text,generator-meme-text,https://taptogen.com/bg/tools/generator-meme-text/,Generator za Meme Text,Generator za Meme Text bezplatno,"Sazdavaite yasni cherнови na balgarski i proveriavaite rezultata predi upotreba. Proverete tochnost, originalnost, savmestimost i pravilata na proekta predi publikuvane. Proverete originalnost, chuvstvitelnost, prava i d",built_dist,PASS
