slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
utm-generator,UTM Link Generator,"Currently behaves like a plain utility output and does not provide a complete campaign URL builder experience.","Build encoded campaign URLs with base URL, utm_source, utm_medium, utm_campaign, optional utm_term, optional utm_content, decoded preview, encoded final URL, and parameter summary.","Base URL input; source; medium; campaign; term; content; lowercase/normalize toggle; copy encoded URL.","Campaign URL card; parameter table; encoded URL block; decoded preview; quick examples for common channels.","Copy final URL; copy query string; copy parameter table; copy all.","Shows both encoded and readable versions, prevents missing required fields, and labels common channel/source conventions.","Do not claim analytics tracking works without the user installing/configuring analytics. Avoid collecting or sending campaign data.","Slug exists in src/data/tools.ts. Validate URL encoding, empty optional params, existing query strings, and mobile wrapping."
slug-generator,URL Slug Generator,"Current output is a single basic slug and does not support SEO variants or keyword-focused choices.","Generate SEO slug variants with lowercase, hyphenated text, stop-word removal, length options, keyword focus, short/medium/long versions, and readability notes.","Separator; max length; stop-word removal; keyword focus; preserve numbers toggle; lowercase toggle.","Primary slug; short slug; keyword-first slug; stop-word-clean slug; fallback exact slug; notes on length and readability.","Copy per slug; copy all; copy canonical suggestion.","Creates multiple practical slug choices instead of one irreversible transformation, with SEO guidance and length awareness.","Do not promise ranking improvements. Preserve user intent and avoid destructive changes to meaningful terms.","Slug exists in src/data/tools.ts. Validate punctuation stripping, whitespace, duplicate hyphens, non-empty fallback, and stop-word behavior."
sitemap-generator,Sitemap Generator,"Current output is a basic XML dump and lacks row structure, changefreq/priority controls, lastmod handling, and copy/export guidance.","Generate XML sitemap drafts from URL rows with lastmod, changefreq, priority, canonical URL cleanup, sitemap header/footer, and validation reminders.","Default changefreq; default priority; include lastmod; normalize trailing slash; max URL rows; sitemap type basic/with metadata.","URL table summary; XML sitemap code block; validation checklist; submission notes.","Copy XML; copy URL list; copy selected row; copy all.","Turns pasted URLs into an SEO-ready XML draft with metadata defaults and a review checklist.","Do not claim pages will be indexed. Warn against including private, blocked, redirected, or noindex URLs.","Slug exists in src/data/tools.ts. Validate XML escaping, date format, duplicate URLs, empty input fallback, and generated sitemap syntax."
open-graph-generator,Open Graph Tag Generator,"Current output is generic tags and does not feel like a social preview builder.","Generate OG meta tags with title, description, URL, image, type, site name, locale, preview card data, image size notes, and copyable HTML.","OG type; site name; image URL; locale; include article tags; title/description length hints.","Social preview summary; OG HTML meta block; field checklist; image requirements note.","Copy HTML; copy preview text; copy field checklist.","Adds preview-card style data and platform-ready field labeling, not just raw tags.","Do not fetch or validate image dimensions unless implemented. Do not claim platform cache refresh.","Slug exists in src/data/tools.ts. Validate escaped HTML attributes, missing image fallback, absolute URL guidance, and copy HTML output."
twitter-card-generator,Twitter Card Generator,"Current output is a basic Twitter card block without mode-specific structure or X/Twitter preview guidance.","Generate X/Twitter card meta tags for summary and summary_large_image modes with title, description, image, site handle, creator handle, and preview notes.","Card type; site handle; creator handle; image URL; include OG compatibility note.","Card preview summary; Twitter/X meta HTML; optional OG compatibility reminder; validation checklist.","Copy HTML; copy handle fields; copy all.","Mode-aware card generation with card-specific guidance and character/image notes.","Do not claim preview will update instantly. Avoid fake handles unless user provides them.","Slug exists in src/data/tools.ts. Validate summary vs large image card output, HTML escaping, handle normalization, and mobile layout."
html-table-generator,HTML Table Generator,"Current output is likely raw markup only and lacks a table preview, semantic options, and copyable variants.","Generate table preview plus semantic HTML code with caption, header row, rows/columns options, striped style option, responsive wrapper, and accessible markup notes.","Rows; columns; include header; include caption; striped style; responsive wrapper; sample data mode.","Live table preview; HTML code block; optional CSS block; accessibility checklist.","Copy HTML; copy CSS; copy table data; copy all.","Provides preview and production-ready semantic markup with accessibility hints instead of only a code dump.","Do not claim full WCAG compliance without user review. Warn against using tables for layout.","Slug exists in src/data/tools.ts. Validate row/column bounds, escaped cell values, preview responsiveness, and semantic table structure."
json-schema-generator,JSON Schema Generator,"Current output does not appear to parse fields into a structured schema builder experience.","Generate JSON Schema drafts from field/type input with title, type object, properties, required fields, descriptions, examples, constraints, and copyable JSON.","Schema draft type; required fields toggle; include examples; strict additionalProperties toggle; input mode sample/json fields.","JSON Schema code block; property summary table; example JSON payload; validation notes.","Copy JSON Schema; copy example JSON; copy property list.","Pairs schema with example payload and field summary, making it easier to implement and test.","Do not claim schema is perfect for every validator/version. Recommend validating with the user’s target JSON Schema draft.","Slug exists in src/data/tools.ts. Validate valid JSON output, quotes/escaping, required array, input parsing, and no trailing commas."
regex-generator,Regex Generator,"Current output is generic and does not provide use-case groups, explanations, or test examples.","Generate regex patterns for common use cases with explanation, flags, positive examples, negative examples, and language-specific escaping notes.","Use case select; case sensitivity flag; global flag; multiline flag; anchors toggle; sample input.","Pattern card; explanation; test examples; copyable JS/PHP/Python-friendly variant if feasible.","Copy regex; copy test examples; copy explanation; copy all.","Includes examples and caveats so users can understand and test patterns instead of blindly copying.","Warn regex may need adjustment per language/engine and should not be sole validation for security-critical input.","Slug exists in src/data/tools.ts. Validate escaping, flags, empty input fallback, common use-case patterns, and examples render safely."
uuid-generator,UUID Generator,"Current output is simple UUID lines without format options or copy-friendly cards.","Generate multiple UUID v4 values with formats: standard, uppercase, no-hyphen, URN, and bulk count. Include copy per result and copy all.","Count; format; uppercase toggle; include URN; grouping mode; separator for bulk output.","UUID result grid; format variants; bulk export block; brief usage note.","Copy per UUID; copy format variant; copy all/bulk list.","Adds developer-ready format variants and bulk export controls, not just a plain list.","Do not imply UUIDs are secret tokens or suitable passwords. Note UUIDs identify; they do not authenticate.","Slug exists in src/data/tools.ts. Validate crypto.randomUUID availability, count limits, unique outputs, format transforms, and copy all."
lorem-ipsum-generator,Lorem Ipsum Generator,"Current output is fixed paragraphs and does not support paragraph/sentence/word modes or export controls.","Generate placeholder text by paragraphs, sentences, words, or short UI blocks with count controls, start-with-lorem toggle, copy/export sections, and design-use labels.","Output mode; count; start with Lorem ipsum; paragraph length; include headings/list blocks toggle.","Generated text block; paragraph cards; word/sentence list; UI copy snippets; usage notes.","Copy full text; copy paragraph; copy sentence list; copy all.","Supports real design/testing workflows with mode-specific outputs and copyable chunks.","Make clear it is placeholder text. Avoid generating real claims or misleading production copy.","Slug exists in src/data/tools.ts. Validate count bounds, mode switching, no mojibake, copy controls, and mobile readability."
