slug,tool_name,category,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,"Current output likely returns a flat tag list without video-intent grouping, tag breadth control, or creator workflow notes.","Add YouTube tag groups for core topic, long-tail search tags, audience tags, format tags, problem/solution tags, and safe branded tags, plus title/description keyword pairing notes.","video topic; video format; audience; tag count; keyword breadth; include branded tags; language/region hint.","Grouped YouTube tag pack with strategy labels, tag chips, title keyword note, description keyword note, and copyable full tag list.","Copy tag; copy group; copy all tags; copy title/description keyword pair.","Video-specific grouping and search-intent labels beat generic hashtag/tag dumps.","Do not claim tags guarantee rankings, views, monetization, or platform performance; avoid misleading competitor or trademark stuffing.","Confirm slug exists; validate group copy buttons; ensure tags wrap on mobile; keep output advisory with no fake search volume."
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,"Current output likely gives generic hashtags without Instagram-specific reach tiers, post type fit, or caption support.","Add Instagram hashtag groups for broad reach, niche tags, community tags, content-format tags, local/brand tags, and low-spam mixed set with caption pairing note.","topic; account type; post type; niche; hashtag count; reach strategy; branded tag toggle.","Instagram hashtag pack with reach-tier groups, safe mixed set, caption keyword note, and copyable tag chips.","Copy tag; copy group; copy mixed set; copy all hashtags.","Reach-tier grouping and post-type fit beat one-size hashtag lists.","Avoid spammy stuffing, banned/unsafe tags, fake reach guarantees, deceptive giveaway tags, or sensitive targeting.","Confirm slug exists; validate count limits; check hashtag chip wrapping; ensure no duplicate tags across groups."
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,"Current output likely uses generic viral-style tags without video format, niche, or trend-safety distinction.","Add TikTok hashtag groups for niche, format, audience, discovery, safe trend-adjacent, and creator-brand tags with short-video caption note.","video topic; video type; niche; audience; tag count; trend level; branded tag toggle.","TikTok hashtag pack with group labels, tag chips, caption starter, trend-safety note, and copyable selected mix.","Copy tag; copy group; copy selected mix; copy caption starter.","Short-video-specific hashtag strategy and trend caveats beat generic viral tags.","Avoid dangerous challenges, misleading trend claims, spammy viral guarantees, or unsafe health/finance advice tags.","Confirm slug exists; validate safe trend wording; ensure selected mix is not overlong; mobile tag wrapping."
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,"Current output likely treats Facebook tags like generic social hashtags and misses local/community/event use cases.","Add Facebook tag groups for community, local, event, marketplace-safe, topic, campaign, and light hashtag usage with post-goal notes.","topic; post goal; community/local focus; post type; hashtag count; tone; include branded tags.","Facebook hashtag pack with light-use recommendation, grouped tags, post pairing note, and copyable short sets.","Copy tag; copy group; copy recommended short set; copy all.","Facebook-specific guidance on fewer, clearer tags beats bulk hashtag output.","Avoid engagement bait, deceptive marketplace tags, fake local claims, restricted goods terms, or misleading giveaway wording.","Confirm slug exists; validate short recommended set; check output stays Facebook-oriented; no duplicate tags."
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,"Current output likely provides generic tags but not Pinterest search keyword clusters or pin-board intent mapping.","Add Pinterest keyword/tag clusters for pin title, board topic, visual style, audience, long-tail search, seasonal angle, and description keyword bank.","pin topic; niche; board type; visual style; seasonality; keyword count; commercial/informational intent.","Pinterest SEO pack with pin-title keywords, board tags, description keywords, long-tail clusters, and copyable tag banks.","Copy keyword; copy cluster; copy pin-title set; copy all.","Pinterest-specific search and board organization makes output more useful than generic tags.","Do not claim traffic guarantees or live search volume; avoid trademark stuffing and misleading seasonal/event claims.","Confirm slug exists; validate keyword groups; ensure long-tail phrases wrap; no fake metrics."
etsy-tag-generator,Etsy Tag Generator,SEO & Marketing Generators,"Current output likely gives Etsy tags without strong 13-tag structure, buyer intent grouping, or listing-field fit.","Add Etsy tag strategy with 13 tag slots, buyer-intent groups, material/style/occasion tags, long-tail phrases, title alignment note, and duplicate warning.","product type; material; style; occasion; buyer; tag count; personalization toggle.","Etsy tag pack with exactly selected tag count, grouped tag chips, title alignment notes, and copyable 13-tag set.","Copy tag; copy group; copy Etsy tag set; copy title-aligned keywords.","Etsy-native 13-tag planning and listing alignment beat generic ecommerce keyword lists.","Avoid claiming Etsy ranking results, handmade/vintage status, copyrighted/trademark terms, or unsupported material/origin tags.","Confirm slug exists; validate no more than 13 tags; check duplicate removal; ensure tags fit Etsy-style phrase length."
blog-tag-generator,Blog Tag Generator,SEO & Marketing Generators,"Current output likely lists blog tags without separating categories, reader intent, CMS taxonomy, and SEO support.","Add blog tag groups for primary category, secondary categories, reader intent, topic tags, format tags, pillar/cluster tags, and WordPress-ready copy.","post topic; blog niche; audience; CMS; tag count; category count; search intent.","Blog taxonomy pack with category suggestions, tag chips, cluster tags, internal-link note, and copyable CMS tag list.","Copy tag; copy category set; copy CMS-ready list; copy all.","Combines blog taxonomy and topic-cluster planning rather than simple tag generation.","Avoid fake search volume, keyword stuffing, medical/legal/financial certainty, or misleading category claims.","Confirm slug exists; validate category/tag separation; ensure CMS-ready list copies cleanly; mobile chip wrapping."
tag-cloud-generator,Tag Cloud Generator,SEO & Marketing Generators,"Current output may produce a raw word cloud or keyword list without frequency tiers, cleanup, or content-analysis guidance.","Add tag-cloud analysis with cleaned keywords, frequency tiers, high/medium/low weight groups, excluded stop words, content-theme summary, and copyable weighted list.","keywords/text; stop-word removal; max tags; weighting mode; include phrases; case normalization; output style.","Weighted tag cloud report with top terms, tier groups, cleaned list, excluded words, and optional display text.","Copy weighted list; copy top terms; copy cleaned keywords; copy all.","Turns tag cloud intent into useful keyword analysis without requiring a complex visual renderer.","Do not claim SEO ranking value or statistical precision; keep frequency analysis descriptive only.","Confirm slug exists; validate empty input fallback; check long keyword wrapping; no visual/export requirement."
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,"Current output likely gives plain channel names without niche fit, handle variants, content-positioning notes, or availability caveats.","Add YouTube channel name groups for niche authority, creator brand, short handle-friendly, series-style, educational, entertainment, and brandable variants.","niche; creator/business mode; tone; name length; include keyword; handle style; result count.","Grouped channel-name cards with name, handle variant, niche-fit note, content promise, and availability reminder.","Copy name; copy handle variant; copy group; copy all names.","Pairs names with channel positioning and handle-friendly alternatives, not just random titles.","Avoid impersonation, existing creator mimicry, trademark claims, offensive names, or availability guarantees.","Confirm slug exists; validate no duplicate names; check handle normalization; related slug links remain valid."
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,"Current output likely returns generic streamer names without gaming/creator style groups, readability notes, or handle backup variants.","Add Twitch streamer name groups for gaming, cozy, competitive, variety, creator-brand, short handle, number-light backups, and pronunciation notes.","stream niche; style; tone; max length; separator preference; include numbers; result count.","Twitch name suite with streamer name, handle backup, style label, pronunciation/readability note, and best-use label.","Copy name; copy backup handle; copy group; copy all.","Platform-aware streamer naming with backups and readability beats random username output.","Avoid impersonation, offensive handles, protected-brand mimicry, and availability claims.","Confirm slug exists; validate max-length handling; ensure backup variants differ; mobile card wrapping."
