"slug","tool_name","current_output_problem","exact_intent_specific_features_to_add","maximum_relevant_options","expected_output_structure","per_result_actions","competitor_beating_features","safety_notes","validation_notes"
"blog-outline-generator","Blog Outline Generator","Current output is likely a generic outline or simple section list, not a search-intent-aware blog planning tool.","Add intro angle, search intent classification, target reader, H2/H3 outline sections, key talking points, FAQ ideas, meta title/description draft, CTA suggestion, and internal-link placeholders.","topic; audience; search intent; tone; article length; include FAQs; include SEO fields","Structured brief with overview, search intent, intro angle, H2/H3 outline, FAQ block, CTA block, SEO notes.","copy full outline; copy H2/H3 outline; copy FAQ block; copy SEO fields","Intent-aware outline that doubles as an SEO/content brief starter rather than only a heading generator.","Avoid medical/legal/financial certainty; keep claims generic and editable; do not invent stats or cite fake sources.","Slug exists. Implement as writing_outline_sections with richer section cards and copy targets."
"cover-letter-generator","Cover Letter Generator","Current output likely produces one broad letter draft without modular sections or tone variants.","Add modular opening, role/company fit, skills match, evidence/value paragraph, closing, short variant, formal variant, friendly variant, and customization checklist.","role; company; experience level; tone; length; job description; include variants","Cover letter suite with section cards plus 3 complete variants: short, formal, friendly.","copy section; copy full letter; copy variant; regenerate opening","Section-level editing beats one-shot letter generators because users can assemble and tune the final letter faster.","Avoid guaranteeing employment; avoid fabricated experience, credentials, metrics, or company knowledge; include reminder to verify details.","Slug exists. Needs template rendering that separates editable sections from complete variants."
"author-bio-generator","Author Bio Generator","Current output likely gives generic biography text without author-specific lengths, platforms, or publication contexts.","Add short, medium, professional, casual, book-jacket, website, speaker, and social-platform bio variants with word/character notes.","author name; genre/niche; tone; achievement level; point of view; platform; length","Bio variation grid with style label, bio text, character/word count, and best-use note.","copy bio; copy all bios; shorten; make more formal","Purpose-built author positioning with platform-specific variants and length guidance.","Do not invent awards, publications, credentials, bestseller status, or representation; user must verify claims.","Slug exists. Should share bio variation renderer but with author-specific labels and claim-safety notes."
"instagram-bio-generator","Instagram Bio Generator","Current output may be a generic social bio list and does not cover Instagram-specific style patterns or 150-character pressure.","Add creator, business, aesthetic, funny, professional, emoji-light, CTA-focused, link-in-bio, and niche-community variants with character counts.","niche; account type; tone; emoji level; CTA type; include keywords; length target","Instagram bio matrix with style label, text, character count, CTA/use note, and optional emoji-light alternate.","copy bio; copy emoji-light version; copy all; regenerate style","Instagram-specific character-count feedback, CTA categories, and account-type fit make it stronger than generic bio tools.","Avoid spammy follow-bait, deceptive credentials, unsafe claims, or impersonation wording.","Slug exists. Implement as bio_caption_variations but distinct from generic Bio Generator."
"headline-generator","Headline Generator","Current output likely gives generic headline lines without grouping by intent, channel, or conversion angle.","Add headline groups: curiosity, how-to, listicle, SEO keyword, emotional, short punchy, benefit-led, and social/ad headline variants with length notes.","topic; audience; channel; tone; target keyword; headline length; include numbers; intensity level","Headline group cards with headline, style label, channel/use note, estimated length, and keyword placement note.","copy headline; copy group; copy all; regenerate similar","Grouped by reader psychology and channel fit, so it works for blogs, ads, landing pages, and social instead of one generic title list.","Avoid deceptive clickbait, false urgency, unsafe claims, or guaranteed ranking/conversion language.","Slug exists. Implement as writing_outline_sections/name-style grouped cards for headline variants."
"youtube-description-generator","YouTube Description Generator","Current output likely produces a plain description draft without video-specific sections and reusable placeholders.","Add hook, summary, value bullets, links placeholder, chapters/timestamps placeholder, subscribe CTA, resources, hashtags, pinned comment idea.","video topic; target audience; tone; description length; include timestamps; include links; hashtag count","Full YouTube description template with labeled sections and copyable blocks.","copy full description; copy hook; copy timestamps; copy hashtag block","Complete creator-ready structure with placeholders beats generic paragraph output.","Do not generate fake links, fake timestamps, false sponsorships, or guaranteed views/ranking claims.","Slug exists. Needs document_template_generator/writing_sections hybrid."
"call-to-action-generator","Call To Action Generator","Current output likely gives generic CTA lines without goal-specific grouping or funnel context.","Add CTA groups for sales, newsletter, social follow, download, booking, urgency, soft CTA, low-friction CTA, and button text variants.","goal; audience temperature; tone; platform; urgency level; CTA length; offer type","CTA group cards with label, CTA text, best placement, intensity note, and optional button version.","copy CTA; copy button text; copy group; copy all","Funnel-aware categories and intensity notes make output more usable than random CTA lists.","Avoid manipulative urgency, false scarcity, deceptive promises, or medical/financial guarantees.","Slug exists. Should render grouped writing cards."
"cold-email-generator","Cold Email Generator","Current output likely gives one email draft, not a complete outreach sequence with subject and follow-up pieces.","Add subject lines, opener, personalization slot, problem/pitch, proof/value line, CTA, signoff, short version, and follow-up variant.","recipient role; offer; tone; length; personalization depth; CTA type; follow-up timing","Cold email package with subject lines, email sections, full email, and follow-up variant.","copy subject; copy section; copy full email; copy follow-up","Modular outreach package with follow-up and personalization placeholders beats one-shot cold email copy.","Avoid spam, deceptive personalization, false claims, fake social proof, scraped sensitive data, or compliance overclaims.","Slug exists. Include compliance-friendly reminder to personalize and follow email laws."
"content-brief-generator","Content Brief Generator","Current output likely gives a generic brief and misses SEO/editorial production fields.","Add audience, search intent, content goal, angle, outline, primary/secondary keywords, entities, FAQs, internal link ideas, external source placeholders, CTA, quality checklist.","topic; audience; search intent; content type; funnel stage; word count; include FAQ; include links","SEO content brief with strategy summary, outline, keyword clusters, FAQ section, links, CTA, and editor checklist.","copy full brief; copy outline; copy keyword cluster; copy FAQ block","Combines SEO brief, editor handoff, and writer checklist in one output.","Do not fabricate search volume, keyword difficulty, statistics, or source citations; mark keywords as suggestions.","Slug exists. Should be a structured document/outline output with copyable sections."
"css-button-generator","CSS Button Generator","Current output likely returns CSS text but lacks a rich visual builder feel with live preview and variants.","Add live button preview, CSS code block, HTML snippet, variants, hover state, border radius, shadow, gradient, accessible focus state, and copy CSS.","label; style preset; size; color; radius; shadow; gradient; hover style; include HTML","Visual builder output with preview, CSS block, HTML block, variant chips, hover/focus notes.","copy CSS; copy HTML; copy all; copy variant","Live preview plus accessible focus/hover code beats plain CSS snippets.","Avoid misleading accessibility claims; include contrast/focus note as simple guidance, not formal certification.","Slug exists. Implement as css_visual_builder with responsive preview and code copy."
