batchId,toolOrder,canonicalToolId,language,primaryKeyword,localizedSlug,localizedUrl,h1,metaTitle,metaDescription,source,status
B07,1,last-name-and-first-name-generator,es,generador de first and last name,generador-first-and-last-name,https://taptogen.com/es/tools/generador-first-and-last-name/,Generador de First And Last Name,Generador de First And Last Name gratis,"Crea borradores claros en español y revisa cada resultado antes de usarlo. Revisa exactitud, originalidad, compatibilidad y reglas del proyecto antes de publicar. Comprueba originalidad, sensibilidad, derechos y disponib",built_dist,PASS
B07,1,last-name-and-first-name-generator,fr,generateur de first and last name,generateur-first-and-last-name,https://taptogen.com/fr/tools/generateur-first-and-last-name/,Generateur de First And Last Name,Generateur de First And Last Name gratuit,"Créez des brouillons clairs en français et vérifiez chaque resultat avant usage. Verifiez exactitude, originalité, compatibilité et regles du projet avant publication. Verifiez originalité, sensibilite, droits et disponi",built_dist,PASS
B07,1,last-name-and-first-name-generator,de,generator fuer first and last name,generator-first-and-last-name,https://taptogen.com/de/tools/generator-first-and-last-name/,Generator fuer First And Last Name,Generator fuer First And Last Name kostenlos,"Erstelle klare Entwürfe auf Deutsch und prüfe jedes Ergebnis vor der Nutzung. Prüfe Genauigkeit, Originalitaet, Kompatibilität und Projektregeln vor der Veroeffentlichung. Prüfe Originalitaet, Sensibilitaet, Rechte ",built_dist,PASS
B07,1,last-name-and-first-name-generator,pt,gerador de first and last name,gerador-first-and-last-name,https://taptogen.com/pt/tools/gerador-first-and-last-name/,Gerador de First And Last Name,Gerador de First And Last Name gratis,"Crie rascunhos claros em português e revise cada resultado antes de usar. Revise precisao, originalidade, compatibilidade e regras do projeto antes de publicar. Verifique originalidade, sensibilidade, direitos e disponib",built_dist,PASS
B07,1,last-name-and-first-name-generator,it,generatore di first and last name,generatore-first-and-last-name,https://taptogen.com/it/tools/generatore-first-and-last-name/,Generatore di First And Last Name,Generatore di First And Last Name gratis,"Crea bozze chiare in italiano e controlla ogni risultato prima di usarlo. Controlla accuratezza, originalità, compatibilità e regole del progetto prima della pubblicazione. Controlla originalità, sensibilita, diritti e d",built_dist,PASS
B07,1,last-name-and-first-name-generator,pl,generator first and last name,generator-first-and-last-name,https://taptogen.com/pl/tools/generator-first-and-last-name/,Generator First And Last Name,Generator First And Last Name za darmo,"Twórz jasne wersje robocze po polsku i sprawdźaj wynik przed użyciem. Sprawdź dokładność, oryginalność, zgodność i zasady projektu przed publikacją. Sprawdź oryginalność, wrazliwosc, prawa i dostępność przed publicznym u",built_dist,PASS
B07,1,last-name-and-first-name-generator,ru,generator first and last name,generator-first-and-last-name,https://taptogen.com/ru/tools/generator-first-and-last-name/,Generator First And Last Name,Generator First And Last Name besplatno,"Sozdavaite ponyatnye chernoviki na russkom i proveriaite rezultat pered ispolzovaniem. Proverte tochnost, originalnost, sovmestimost i pravila proekta pered publikatsiei. Proverte originalnost, delikatnost, prava i dostu",built_dist,PASS
B07,1,last-name-and-first-name-generator,tr,olusturucu first and last name,olusturucu-first-and-last-name,https://taptogen.com/tr/tools/olusturucu-first-and-last-name/,Olusturucu First And Last Name,Olusturucu First And Last Name ucretsiz,"Turkce net taslaklar olusturun ve kullanmadan once sonucu kontrol edin. Yayinlamadan once dogruluk, ozgunluk, uyumluluk ve proje kurallarini kontrol edin. Halka acik kullanimdan once ozgunluk, hassasiyet, haklar ve uygun",built_dist,PASS
B07,1,last-name-and-first-name-generator,id,generator first and last name,generator-first-and-last-name,https://taptogen.com/id/tools/generator-first-and-last-name/,Generator First And Last Name,Generator First And Last Name gratis,"Buat draf yang jelas dalam bahasa Indonesia dan tinjau hasil sebelum digunakan. Periksa akurasi, orisinalitas, kompatibilitas, dan aturan proyek sebelum menerbitkan. Periksa orisinalitas, sensitivitas, hak, dan ketersedi",built_dist,PASS
B07,1,last-name-and-first-name-generator,sv,generator for first and last name,generator-first-and-last-name,https://taptogen.com/sv/tools/generator-first-and-last-name/,Generator for First And Last Name,Generator for First And Last Name gratis,"Skapa tydliga utkast pa svenska och granska resultatet innan du anvander det. Kontrollera noggrannhet, originalitet, kompatibilitet och projektregler fore publicering. Kontrollera originalitet, kanslighet, rattigheter oc",built_dist,PASS
