slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,high,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
name-generator,Name Generator,Name Generators,noindex,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
username-generator,Username Generator,Name Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
business-name-generator,Business Name Generator,Business & Brand Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
bold-text-generator,Bold Text Generator,Font & Text Style Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
password-generator,Password Generator,Utility Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
lorem-ipsum-generator,Lorem Ipsum Generator,Utility Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
