slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
"logo-generator","Logo Generator","Current output likely gives a generic logo text prompt or simple ideas without brand-system detail, typography direction, or usage guidance.","Generate logo concept suites with wordmark direction, icon ideas, typography style, color suggestions, layout variants, favicon/app-icon note, and usage notes. Do not claim real AI image generation or file export unless implemented.","brand name; industry; logo style; color mood; icon type; typography direction; usage context","Structured logo concept board with concept cards, icon idea, wordmark note, palette suggestion, usage note, and copyable brief.","copy concept; copy logo brief; copy color direction; copy all","Combines brand strategy, visual direction, and reusable design briefs instead of only listing logo names or prompts.","Do not claim trademark clearance, final logo ownership, AI image generation, vector export, or real file creation. Avoid copying known brand styles.","Slug exists. Selected for design/business value."
"slogan-generator","Slogan Generator","Current output likely returns a flat list of slogans without brand intent, tone categories, or best-use labels.","Generate categorized slogans: premium, funny, emotional, short, brandable, CTA-style, descriptive, and campaign-ready with short reason labels.","brand/product; audience; tone; slogan length; industry; CTA strength; humor level","Grouped slogan cards with category label, slogan text, best-use note, and optional campaign angle.","copy slogan; copy group; copy all","Intent-specific categories and usage notes beat undifferentiated slogan lists.","Avoid trademark claims, copied famous slogans, guarantees, misleading promises, or regulated-industry claims.","Slug exists. Selected for brand/writing value."
"tagline-generator","Tagline Generator","Current output likely overlaps with slogan output and may not distinguish evergreen positioning from campaign copy.","Generate positioning-focused taglines by category: premium, short, emotional, brandable, benefit-led, category-defining, and CTA-adjacent.","brand/product; category; audience; tone; tagline length; benefit focus; brand maturity","Tagline suite with positioning note, tagline groups, best-use labels, and optional homepage/subhead pairing.","copy tagline; copy positioning pair; copy group; copy all","Separates evergreen tagline strategy from campaign slogans, improving usefulness and reducing generic output.","Avoid trademark claims, famous tagline imitation, unverifiable superiority, or legal/medical/financial promises.","Slug exists. Selected alongside slogan because intent should differ clearly."
"instagram-caption-generator","Instagram Caption Generator","Current output likely generates one or two generic captions without Instagram-specific hook, CTA, emoji, and hashtag structure.","Generate Instagram caption groups: hook-first, short caption, story caption, promotional caption, educational caption, CTA caption, emoji-light variant, and hashtag block.","topic; account type; tone; caption length; emoji level; CTA type; hashtag count; audience","Instagram caption pack with hook, caption body, CTA line, emoji-light option, hashtag suggestions, and platform-fit note.","copy caption; copy hook; copy hashtag block; copy all","Platform-specific caption anatomy with hooks and hashtags beats generic social copy.","Avoid spammy hashtag stuffing, unsafe claims, fake engagement bait, or deceptive giveaways.","Slug exists. Selected for social visibility."
"tiktok-caption-generator","TikTok Caption Generator","Current output likely gives generic short captions without TikTok hook styles, short-video language, or safe hashtag grouping.","Generate TikTok-ready captions: POV hook, short punchy caption, trend-style caption, educational caption, CTA caption, emoji-light variant, and hashtag suggestions.","topic; video type; tone; audience; CTA type; emoji level; hashtag count; trend style","TikTok caption pack with hook label, caption, CTA, safe hashtag group, and length/platform note.","copy caption; copy hook; copy hashtag block; copy all","Short-video-specific hook formats and safe hashtags beat generic caption lists.","Avoid unsafe challenges, spammy viral guarantees, misleading trend claims, or dangerous advice.","Slug exists. Selected for social/video intent."
"resume-summary-generator","Resume Summary Generator","Current output likely invents years, achievements, or broad credentials and does not separate seniority/tone variants.","Generate resume summary variants by role and seniority: entry-level, mid-level, senior, career-change, achievement-focused, concise, and ATS-friendly placeholders.","target role; seniority; industry; tone; summary length; include keywords; career-change mode","Resume summary cards with variant label, summary text, keyword note, and credibility-safe proof placeholders.","copy summary; copy keyword line; copy all","Credential-safe variants with editable proof slots beat generic inflated resume paragraphs.","Do not invent years, employers, degrees, certifications, metrics, awards, or eligibility claims.","Slug exists. Selected for writing/career value."
"citation-generator","Citation Generator","Current output likely provides static citation examples rather than source-aware structured formats or warnings about missing fields.","Generate structured citation templates for APA, MLA, Chicago, Harvard, and web/article/book formats with field checklist and validation note.","source type; citation style; author; title; year; url/doi; publisher; access date","Citation output with selected style, multiple format templates, missing-field checklist, and copyable citation blocks.","copy citation; copy style group; copy field checklist; copy all","Source-type-aware formatting guidance and missing-field checklist beat static examples.","Avoid claiming perfect academic accuracy without validating source metadata. Encourage checking against official style guides.","Slug exists. Selected for utility/writing value."
"name-generator","Name Generator","Replacement for missing random-name-generator. Current output likely provides generic name lists without category, style, or availability-friendly variants.","Generate grouped name ideas: modern, classic, playful, professional, short, initials-friendly, domain/handle-friendly, and random picker style.","name type; style; length; initials; audience; include variants; count","Grouped copyable name idea cards with style label, pronunciation/fit note, and availability-friendly variants.","copy name; copy group; copy all","Purpose-built name categories and handle/domain-friendly variants beat plain random lists.","Avoid claiming real availability, legal suitability, trademark clearance, or identity verification.","Replacement chosen for missing random-name-generator. Slug exists."
"username-generator","Username Generator","Current output likely gives plain usernames without platform fit, readability, or availability-friendly alternatives.","Generate username groups: clean, creator, gamer, professional, short, underscore/dot variants, number-light variants, and availability-friendly backups.","topic/name; platform; style; max length; separators; include numbers; count","Username suite with grouped cards, handle text, platform-fit note, and backup variants.","copy username; copy group; copy all","Platform-aware readable handles with backup variants beat random handle lists.","Avoid claiming username availability. Avoid impersonation, brand squatting, offensive handles, or misleading identity claims.","Slug exists. Selected for high-visibility account naming."
"display-name-generator","Display Name Generator","Replacement for already-upgraded youtube-description-generator. Current output likely generates generic display names without platform-specific style or personal-brand grouping.","Generate display name groups for social profiles: clean, creator, professional, aesthetic, gaming, short, keyword-enhanced, and brandable display names.","name/topic; platform; style; length; include keywords; creator/business mode; count","Grouped display-name cards with style label, display name, best-use note, and optional handle pairing.","copy display name; copy group; copy all","Distinguishes display names from usernames and supports profile branding across platforms.","Avoid impersonation, protected-brand mimicry, offensive names, and availability claims.","Replacement chosen because youtube-description-generator was already upgraded in Pass 2. Slug exists."
