slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,medium,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
name-generator,Name Generator,Name Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
username-generator,Username Generator,Name Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
business-name-generator,Business Name Generator,Business & Brand Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
bold-text-generator,Bold Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,medium,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,low,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
password-generator,Password Generator,Utility Generators,noindex,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
lorem-ipsum-generator,Lorem Ipsum Generator,Utility Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
text-case-converter,Text Case Converter,Utility Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
team-name-generator,Team Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
robots-txt-generator,Robots.txt Generator,SEO & Marketing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
word-counter,Word Counter,Utility Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
uuid-generator,UUID Generator,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
random-number-generator,Random Number Generator,Random Generators,noindex,yes,strong,good,none,"Safe tool has usable output or partial structured rendering, but expected incremental value is not high enough for the next premium batch.",Leave as-is for now; revisit after launch analytics.,good_enough
small-text-generator,Small Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
italic-text-generator,Italic Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
strikethrough-text-generator,Strikethrough Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
underline-text-generator,Underline Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
vaporwave-text-generator,Vaporwave Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
reverse-text-generator,Reverse Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
unicode-text-generator,Unicode Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
domain-name-generator,Domain Name Generator,Business & Brand Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
product-name-generator,Product Name Generator,Business & Brand Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
baby-name-generator,Baby Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
middle-name-generator,Middle Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
last-name-generator,Last Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
discord-name-generator,Discord Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
