position,slug,name,metadata,intro,below_tool_content,faqs,relatedSlugs,safety,duplicate_slugs_check,broken_relatedSlugs_check,rendered_index_follow,canonical_check,noindexToolSlugs_unchanged,remaining_issues
1,random-text-generator,Random Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,lorem-ipsum-generator|sentence-generator|random-phrase-generator|random-number-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
2,random-word-generator,Random Word Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,random-phrase-generator|random-letter-generator|random-number-generator|word-counter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
3,regex-generator,Regex Generator,updated meta title and description with pattern-testing framing,updated tagline and intro description,added intent-specific how-to and tips,added four regex/testing FAQs,json-formatter|slug-generator|hash-generator|uuid-generator,indexing unchanged; no perfect-regex guarantee added,pass,pass,pass,pass,pass,none from structural validation
4,repeat-text-generator,Repeat Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,random-text-generator|lorem-ipsum-generator|word-counter|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
5,research-question-generator,Research Question Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,thesis-statement-generator|essay-title-generator|citation-generator|random-question-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
6,restaurant-name-generator,Restaurant Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,business-name-generator|logo-generator|brand-kit-generator|domain-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
7,resume-summary-generator,Resume Summary Generator,updated meta title and description with truthful career-draft framing,updated tagline and intro description,added intent-specific how-to and tips,added four resume accuracy FAQs,cover-letter-generator|bio-generator|text-summary-generator|name-generator,indexing unchanged; no job/career guarantees added,pass,pass,pass,pass,pass,none from structural validation
8,rgb-generator,RGB Color Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,hex-color-generator|color-palette-generator|color-name-generator|json-formatter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
9,riddle-generator,Riddle Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,joke-generator|random-question-generator|truth-or-dare-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
10,rpg-character-generator,RPG Character Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,dnd-name-generator|character-name-generator|fantasy-name-generator|worldbuilding-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
11,rubric-generator,Rubric Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,lesson-plan-generator|quiz-generator|multiple-choice-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
12,sales-email-generator,Sales Email Generator,updated meta title and description with respectful outreach framing,updated tagline and intro description,added intent-specific how-to and tips,added four outreach/compliance FAQs,cold-email-generator|follow-up-email-generator|ad-copy-generator|email-signature-generator,indexing unchanged; no reply/sales/deliverability guarantees added,pass,pass,pass,pass,pass,none from structural validation
13,salon-name-generator,Salon Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,business-name-generator|logo-generator|brand-kit-generator|domain-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
14,schema-tag-generator,Schema Markup Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,meta-tag-generator|hreflang-tag-generator|robots-txt-generator|keyword-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
15,school-name-generator,School Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,town-name-generator|character-name-generator|wizard-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
16,sentence-generator,Sentence Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,paragraph-generator|lorem-ipsum-generator|word-counter|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
17,seo-title-generator,SEO Title Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,meta-tag-generator|slug-generator|blog-name-generator|keyword-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
18,shop-name-generator,Shop Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,business-name-generator|domain-name-generator|product-name-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
19,sku-generator,SKU Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,product-name-generator|uuid-generator|product-title-generator|business-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
20,slogan-generator,Slogan Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,business-name-generator|blog-name-generator|product-name-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
21,slug-generator,URL Slug Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,meta-tag-generator|text-case-converter|hash-generator|json-formatter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
22,snapchat-name-generator,Snapchat Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,username-generator|name-generator|fancy-text-generator|lorem-ipsum-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
23,social-media-post-generator,Social Media Post Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,poster-generator|name-generator|fancy-text-generator|lorem-ipsum-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
24,song-name-generator,Song Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,band-name-generator|rap-name-generator|superhero-name-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
25,special-character-generator,Special Character Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,fancy-text-generator|unicode-text-generator|glitch-text-generator|bold-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
26,sql-query-generator,SQL Query Generator,updated meta title and description with schema/testing framing,updated tagline and intro description,added intent-specific how-to and tips,added four SQL safety FAQs,json-schema-generator|regex-generator|dummy-data-generator|json-formatter,indexing unchanged; no valid-SQL or production safety guarantees added,pass,pass,pass,pass,pass,none from structural validation
27,stage-name-generator,Stage Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,rap-name-generator|band-name-generator|superhero-name-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
28,startup-name-generator,Startup Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,business-name-generator|domain-name-generator|product-name-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
29,story-name-generator,Story Title Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,character-name-generator|writing-prompt-generator|blog-name-generator|story-plot-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
30,story-plot-generator,Story Plot Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,writing-prompt-generator|story-name-generator|character-name-generator|character-backstory-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
31,street-name-generator,Street Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,town-name-generator|kingdom-name-generator|character-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
32,study-plan-generator,Study Plan Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,flashcard-generator|quiz-generator|content-calendar-generator|planet-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
33,synonym-generator,Synonym Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,word-counter|sentence-generator|paragraph-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
34,tag-cloud-generator,Tag Cloud Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,keyword-generator|hashtag-generator|meta-tag-generator|seo-title-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
35,tagline-generator,Tagline Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,slogan-generator|business-name-generator|ad-copy-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
36,tavern-name-generator,Tavern Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,town-name-generator|medieval-name-generator|dnd-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
37,testimonial-generator,Testimonial Generator,updated meta title and description with review-safe framing,updated tagline and intro description,added intent-specific how-to and tips,added four truthful-testimonial FAQs,bio-generator|product-description-generator|compliment-generator|name-generator,indexing unchanged; no fake-review or endorsement guarantees added,pass,pass,pass,pass,pass,none from structural validation
38,text-shadow-generator,CSS Text Shadow Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,box-shadow-generator|css-button-generator|gradient-generator|json-formatter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
39,text-summary-generator,Text Summary Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,word-counter|paragraph-generator|sentence-generator|resume-summary-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
40,text-to-binary-generator,Text to Binary Converter,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,morse-code-generator|hash-generator|json-formatter|uuid-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
41,thesis-statement-generator,Thesis Statement Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,essay-title-generator|citation-generator|blog-outline-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
42,tiefling-name-generator,Tiefling Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,dnd-name-generator|demon-name-generator|fantasy-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
43,town-name-generator,Town Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,fantasy-name-generator|medieval-name-generator|kingdom-name-generator|dnd-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
44,truth-or-dare-generator,Truth or Dare Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,random-question-generator|would-you-rather-generator|fancy-text-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
45,twitch-name-generator,Twitch Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,discord-name-generator|username-generator|name-generator|fancy-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
46,typescript-type-generator,TypeScript Type Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,json-schema-generator|regex-generator|uuid-generator|json-formatter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
47,typography-generator,Typography Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,fancy-text-generator|cool-text-generator|unicode-text-generator|bold-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
48,underline-text-generator,Underline Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,bold-text-generator|italic-text-generator|strikethrough-text-generator|fancy-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
49,utm-generator,UTM Link Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,meta-tag-generator|canonical-tag-generator|slug-generator|keyword-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
50,uuid-generator,UUID Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,hash-generator|random-number-generator|json-formatter|mock-api-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
