slug,tool_name,category,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,"Current output is likely broad filler paragraphs without audience, purpose, tone, length, structure, or rewrite-ready variants.","Add purpose-aware paragraph packs for intro, explainer, persuasive, product, academic, social, and concise versions with topic framing and usage notes.","Purpose; tone; audience; length; point of view; include outline; include rewrite notes.","Paragraph suite with labeled versions, audience note, tone note, optional outline, and copy-ready paragraph sections.","Copy paragraph; copy version; copy all.","Purpose-labeled paragraphs beat generic text blocks and make output usable for writing, marketing, and school drafts.","Avoid factual claims, citations, medical/legal advice, or fabricated statistics; mark placeholders clearly.","Confirm slug exists; verify no fake facts; check long paragraphs wrap on mobile."
writing-prompt-generator,Writing Prompt Generator,AI Text & Writing Generators,"Current output is a simple prompt list without genre, constraint, character, setting, conflict, or expansion support.","Add structured writing prompt cards with genre, setting, protagonist, conflict, twist, first line, and expansion challenge.","Genre; difficulty; prompt type; tone; length; include first line; include constraints.","Prompt cards grouped by story seed, scene starter, character prompt, world prompt, and revision challenge.","Copy prompt; copy first line; copy full card; copy all.","Complete prompt cards with constraints beat one-line random prompt generators.","Keep content safe and non-explicit; avoid copyrighted/franchise prompts and harmful scenarios.","Confirm slug exists; verify generated prompts stay original and AdSense-safe."
ai-prompt-generator,AI Prompt Generator,AI Text & Writing Generators,"Current output likely creates generic AI prompts without role, context, constraints, output format, evaluation criteria, or iteration prompts.","Add prompt frameworks for writing, coding, research, planning, summarizing, and marketing with role/context/task/format sections.","Task type; audience; output format; detail level; include constraints; include follow-up prompt.","Prompt suite with system-style role, user prompt, constraints, output format, checklist, and refinement prompt.","Copy prompt; copy framework; copy checklist; copy all.","Structured prompt engineering blocks beat generic prompt idea lists and are immediately reusable.","Do not imply guaranteed AI accuracy; include verify-facts and no-sensitive-data reminders.","Confirm slug exists; verify prompt text is platform-neutral and not OpenAI-specific unless generic."
midjourney-prompt-generator,Midjourney Prompt Generator,AI Text & Writing Generators,"Current output may be a plain image prompt without composition, lighting, style, negative prompt, aspect ratio, or safe usage notes.","Add image prompt packs with subject, composition, medium, lighting, mood, color palette, camera/detail cues, parameters, and negative prompt ideas.","Subject type; style; aspect ratio; detail level; mood; include negative prompt; include parameter note.","Prompt cards for cinematic, product, editorial, concept art, minimalist, and social styles with parameter line.","Copy prompt; copy parameter line; copy negative prompt; copy all.","Composition-aware prompt cards beat short adjective-heavy prompt lists.","Avoid living artist imitation, trademarked characters, explicit content, and claims of generated image ownership.","Confirm slug exists; ensure text-only output; no image generation or export claims."
stable-diffusion-prompt-generator,Stable Diffusion Prompt Generator,AI Text & Writing Generators,"Current output may be generic and lacks model-neutral positive/negative prompts, weights, aspect guidance, and safety notes.","Add Stable Diffusion prompt packs with positive prompt, negative prompt, style tokens, composition, lighting, quality notes, and sampler-neutral settings guidance.","Subject; style family; aspect ratio; quality level; include negative prompt; include seed note; include safety note.","Positive prompt, negative prompt, optional weighted phrases, settings notes, and use-case variants.","Copy positive prompt; copy negative prompt; copy full prompt; copy all.","Positive/negative pairs and settings notes beat simple prompt strings.","Avoid copyrighted character lookalikes, living artist style requests, explicit/unsafe content, and false licensing claims.","Confirm slug exists; keep output model-neutral and text-only."
productivity-prompt-generator,Productivity Prompt Generator,AI Text & Writing Generators,"Current output likely gives generic productivity prompts without workflow context, time horizon, prioritization, or action templates.","Add productivity prompt packs for planning, prioritization, focus, meeting prep, review, delegation, and weekly reset.","Workflow type; time horizon; role; output format; include checklist; include reflection questions.","Prompt suite with task prompt, action checklist, calendar-ready steps, reflection questions, and anti-overload note.","Copy prompt; copy checklist; copy action plan; copy all.","Actionable workflow prompts beat vague productivity advice and support immediate execution.","Avoid medical/mental-health claims; avoid productivity shame; keep advice practical and user-controlled.","Confirm slug exists; verify no overclaiming and placeholders are labeled."
video-prompt-generator,Video Prompt Generator,Creative & Story Generators,"Current output may be a generic video idea prompt without shot list, scene structure, pacing, platform fit, or safety review.","Add video prompt packs with hook, scene sequence, shot list, visual direction, narration notes, CTA, and platform fit.","Video type; platform; length; tone; audience; include shot list; include CTA.","Video concept suite with hook, scenes, b-roll list, narration, caption, CTA, and production notes.","Copy hook; copy shot list; copy script outline; copy all.","Shot-list and platform-aware output beats single video idea generators.","Avoid misleading claims, unsafe stunts, medical/legal advice, and copyrighted character imitation.","Confirm slug exists; ensure no heavy video export or rendering is implied."
character-prompt-generator,Character Prompt Generator,Creative & Story Generators,"Current output may generate a generic character idea without motivation, conflict, voice, relationships, or story function.","Add character prompt cards with role, goal, flaw, secret, conflict, voice notes, visual cues, and scene starter.","Genre; character role; tone; complexity; include visual cues; include scene starter.","Character cards grouped by hero, rival, mentor, wildcard, antagonist, and side character.","Copy character card; copy scene starter; copy all.","Story-function labels and scene starters beat random trait lists.","Avoid copying protected characters or real people; keep descriptions original and non-defamatory.","Confirm slug exists; verify no franchise references and cards remain concise on mobile."
synonym-generator,Synonym Generator,AI Text & Writing Generators,"Current output is likely a small static synonym list without context, tone, register, usage examples, or wrong-word warnings.","Add context-aware synonym groups by neutral, formal, casual, persuasive, precise, and softer alternatives with example sentences.","Input word; tone/register; writing context; include examples; include cautions.","Synonym table with word, meaning shade, best-use label, example sentence, and caution note.","Copy word; copy example; copy group; copy all.","Context and usage guidance beat thesaurus-style word dumps.","Do not claim dictionary completeness; warn users to verify meaning in technical or legal writing.","Confirm slug exists; test empty/unknown input handling and mobile table wrapping."
dialogue-tag-generator,Dialogue Tag Generator,AI Text & Writing Generators,"Current output may list random said alternatives without emotion, pacing, punctuation, or scene-use guidance.","Add dialogue tag packs by neutral, emotional, action beat, whispered/quiet, conflict, and pacing functions with examples.","Emotion; scene tone; intensity; include action beats; include punctuation tips.","Grouped dialogue tags with example line, best-use note, overuse warning, and action-beat alternatives.","Copy tag; copy example; copy group; copy all.","Examples and overuse guidance beat raw said-synonym lists.","Avoid violent/abusive escalation; remind writers not to over-tag dialogue.","Confirm slug exists; verify punctuation examples are valid and safe."
