position,slug,name,metadata,intro,below_tool_content,faqs,relatedSlugs,safety,duplicate_slugs_check,broken_relatedSlugs_check,rendered_index_follow,canonical_check,noindexToolSlugs_unchanged,remaining_issues
1,dnd-name-generator,D&D Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,dnd-character-generator|dungeon-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
2,productivity-prompt-generator,Productivity Prompt Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,ai-prompt-generator|writing-prompt-generator|study-plan-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
3,pwa-manifest-generator,PWA Manifest Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,app-icon-generator|favicon-generator|uuid-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
4,viral-hook-generator,Viral Hook Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,headline-generator|ad-copy-generator|paragraph-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
5,ad-copy-generator,Ad Copy Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,headline-generator|slogan-generator|landing-page-copy-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
6,ai-prompt-generator,AI Prompt Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,productivity-prompt-generator|writing-prompt-generator|image-alt-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
7,album-name-generator,Album Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,song-name-generator|playlist-name-generator|band-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
8,alien-name-generator,Alien Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,scifi-name-generator|planet-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
9,all-caps-generator,ALL CAPS Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,bold-text-generator|big-text-generator|text-case-converter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
10,angel-name-generator,Angel Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fairy-name-generator|fantasy-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
11,anime-name-generator,Anime Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,character-name-generator|japanese-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
12,app-name-generator,App Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,app-icon-generator|business-name-generator|product-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
13,art-name-generator,Art Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,project-name-generator|mood-board-generator|color-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
14,art-tag-generator,Art Tag Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,product-tag-generator|hang-tag-generator|email-tag-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
15,ascii-text-generator,ASCII Text Art Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,big-text-generator|pixel-text-generator|text-to-binary-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
16,avatar-name-generator,Avatar Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,display-name-generator|username-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
17,bakery-name-generator,Bakery Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,cake-company-names-generator|business-name-generator|shop-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
