"rank","slug","tool_name","category","index_priority","current_output_quality","why_next","recommended_next_action"
"1","band-name-generator","Band Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"2","song-name-generator","Song Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"3","character-name-generator","Character Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"4","story-name-generator","Story Title Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"5","stage-name-generator","Stage Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"6","book-club-name-generator","Book Club Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"7","art-name-generator","Art Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"8","album-name-generator","Album Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"9","book-name-generator","Book Name Generator","Creative & Story Generators","low","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"10","movie-name-generator","Movie Name Generator","Creative & Story Generators","low","basic","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
