slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
meta-tag-generator,Meta Tag Generator,"Current meta output may be too narrow and not a full page-level tag package for modern SEO/social previews.","Add full meta tag set with SEO title, meta description, canonical URL, robots directive, viewport, Open Graph basics, Twitter/X card basics, and validation checklist.","Page type; index/follow mode; social card type; include canonical; brand/site name; title length target; description length target.","SEO summary, title/description tags, canonical/robots tags, Open Graph tags, Twitter/X tags, implementation checklist.","Copy full tag set; copy SEO-only tags; copy social tags; copy title or description individually.","Combines SEO, canonical, robots, and social preview basics in one output instead of separate tiny generators.","Do not guarantee rankings or live preview appearance; warn users to verify URLs, titles, and platform cache behavior.","Slug exists; validate no placeholder URLs when input exists; verify long tag code wraps/scrolls; confirm related slugs remain valid."
product-title-generator,Product Title Generator,"Product titles need ecommerce structure, keyword placement, benefits, attributes, and length awareness rather than generic names.","Add ecommerce title variants with primary keyword, benefit, attribute, audience/use case, platform length notes, and title cleanup guidance.","Product type; marketplace; tone; title count; include brand; length target; keyword position.","Title variants, keyword-first variants, benefit-led variants, attribute-led variants, length notes, optimization checklist.","Copy title; copy title group; copy all variants.","Platform-aware product title structure with length and keyword guidance beats simple random title lists.","Avoid fake certifications, unsupported claims, health outcomes, or trademark misuse.","Slug exists; verify title length notes calculate correctly; long titles wrap cleanly on mobile."
shopify-product-description-generator,Shopify Product Description Generator,"Current Shopify output should become a complete product page section system, not only description text.","Add Shopify PDP copy with hero description, feature blocks, benefits, specs, FAQ, SEO meta, CTA, and section ordering notes.","Product category; tone; audience; benefit focus; SEO keyword; page depth; include FAQ.","Product page headline, short description, feature/benefit blocks, specs section, FAQ, SEO meta, CTA, merchandising notes.","Copy section; copy full product page; copy SEO meta; copy CTA.","Platform-specific PDP structure helps merchants build a full Shopify product page faster.","Avoid unsupported performance, medical, environmental, warranty, or scarcity claims.","Slug exists; check long sections wrap; no fake reviews, guarantees, or unverified claims."
amazon-listing-generator,Amazon Listing Generator,"Existing listing output may rely on placeholders or generic ecommerce copy rather than Amazon-ready structure.","Add Amazon-style listing package with title, five bullets, short description, long description, backend search terms, compliance-safe claim notes, and image/content checklist.","Product category; tone; benefit focus; audience; keyword priority; include search terms; bullet style.","Amazon title, feature bullets, benefit bullets, product description, search terms, compliance checklist.","Copy title; copy bullets; copy description; copy full listing.","Platform-specific sections make it more useful than generic product description tools.","No fake reviews, rankings, guarantees, certifications, health claims, or marketplace policy claims.","Slug exists; validate no bracket placeholders; check bullets and long descriptions for overflow."
etsy-listing-generator,Etsy Listing Generator,"Output should feel handmade/marketplace-specific and avoid generic retail claims.","Add Etsy-style listing with emotional opening, details, materials, dimensions guidance, personalization note, occasion/use cases, shipping/process wording, SEO tags, and care note.","Product type; shop vibe; occasion; material focus; personalization yes/no; tone; tag count.","Etsy title, opening paragraph, details section, materials/care, personalization text, occasion list, tags, shop note.","Copy title; copy description; copy tags; copy full listing.","More Etsy-native than generic description output through story, materials, gifting, and tag structure.","No fake handmade claims, origin claims, shipping promises, safety certifications, or copyright/trademark terms.","Slug exists; validate no unverified claims; verify tag chips wrap and copy buttons align."
ad-copy-generator,Ad Copy Generator,"Ad copy output needs campaign-ready variants with hooks, headlines, primary text, CTA, and safer claim framing.","Add structured ad concepts with hooks, short headlines, long headlines, primary text, CTA, audience angle, pain/benefit framing, and compliance notes.","Platform; objective; audience; tone; offer type; CTA style; variant count.","Ad concept cards, hooks, headlines, primary text, short/long variants, CTA bank, compliance-safe rewrite notes.","Copy hook; copy ad variant; copy CTA bank; copy full campaign set.","Produces usable campaign packets rather than isolated slogans.","No deceptive scarcity, fake testimonials, targeting sensitive traits, guaranteed outcomes, or prohibited claims.","Slug exists; verify per-result copy; ensure AdSense-safe language and no unsupported claims."
landing-page-copy-generator,Landing Page Copy Generator,"Landing page copy should connect ad promise, audience pain, proof-safe benefits, and conversion sections more tightly.","Add conversion page copy system with hero, subheadline, benefits, proof-safe trust section, objections, FAQ, CTA variants, and ad message-match note.","Offer; audience; page goal; tone; funnel stage; CTA; proof type; section depth.","Hero block, benefit section, objection handling, FAQ, CTA bank, ad/message-match checklist, compliance note.","Copy hero; copy CTA bank; copy section; copy full page copy.","Competitor-beating by connecting campaign promise to landing-page structure and safer conversion language.","No fake testimonials, fake metrics, deceptive urgency, guaranteed outcomes, or restricted-industry claims.","Slug exists; check sections are input-aware; no fake proof or placeholder claims."
product-bullet-points-generator,Product Bullet Points Generator,"Product bullets often become generic feature lists without buyer-specific benefits, scan-friendly structure, or platform safety.","Add benefit-led bullet sets with feature-to-benefit mapping, ecommerce/Amazon-style bullets, short mobile bullets, comparison bullets, and claim safety notes.","Product type; platform; audience; benefit focus; tone; bullet count; include specs; length target.","Primary bullet set, short bullet set, feature-to-benefit map, comparison bullets, safety/editing checklist.","Copy bullet; copy bullet set; copy all bullets; copy feature-benefit map.","Creates bullet systems that can be reused across marketplaces, PDPs, ads, and packaging copy.","Avoid unsupported superlatives, guarantees, certifications, health outcomes, or fake material/spec claims.","Slug exists; ensure bullets wrap cleanly; no bracket placeholders or invented specs."
product-benefits-generator,Product Benefits Generator,"Benefit output can be vague unless it separates features, outcomes, emotions, objections, and audience fit.","Add product benefit matrix with functional benefits, emotional benefits, use-case benefits, objection-handling benefits, proof-needed notes, and CTA angles.","Product type; target audience; benefit focus; tone; purchase stage; number of benefits.","Benefit matrix, audience-specific angles, objection responses, proof-needed notes, CTA/message angles.","Copy benefit; copy benefit group; copy full matrix; copy CTA angles.","Goes beyond simple benefits by showing which claims need proof and how to turn benefits into messages.","No fake evidence, health/financial outcomes, guaranteed results, or unverifiable sustainability claims.","Slug exists; check grouped cards and copy actions; ensure safety notes appear in output."
sales-email-generator,Sales Email Generator,"Sales email output needs structured cold/warm outreach variants, personalization fields, CTA options, and compliance-safe wording.","Add sales email pack with subject lines, opener variants, short email, longer consultative email, follow-up, objection-safe CTA, and personalization checklist.","Audience; offer; outreach temperature; tone; CTA style; email length; include follow-up.","Subject lines, opener bank, short email, long email, follow-up email, CTA options, personalization/compliance checklist.","Copy subject; copy email; copy follow-up; copy full sequence.","More useful than a single email by producing a practical mini-sequence with safer personalization guidance.","Avoid spammy claims, deceptive personalization, fake urgency, fake relationship claims, and legal compliance guarantees.","Slug exists; output should avoid bracket placeholders; email sections wrap and copy cleanly."
