slug,tool_name,category,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
essay-topic-generator,Essay Topic Generator,AI Text & Writing Generators,"Current output is likely a flat list of topics without essay type, difficulty, research angle, or classroom-ready prompts.","Add structured topic sets for argumentative, persuasive, expository, compare/contrast, narrative, and research essays with thesis angle, audience, difficulty, and starter questions.","Subject; essay type; academic level; difficulty; tone; topic count; include thesis angle; include research questions.","Topic groups, essay prompt cards, thesis angle, supporting question set, difficulty label, classroom note.","Copy topic; copy full prompt; copy group; copy all.","Prompt-level structure with thesis angles and research questions beats simple topic lists.","Keep topics educational and age-appropriate; avoid generating instructions for cheating or harmful content.","Confirm slug exists; verify grouped cards wrap long prompts and copy actions include complete prompt text."
thesis-statement-generator,Thesis Statement Generator,AI Text & Writing Generators,"Current output may provide generic thesis statements without claim strength, counterargument, essay type, or revision guidance.","Add thesis variants: argumentative, analytical, compare/contrast, cause/effect, concise, nuanced, and counterargument-aware versions with claim, because clause, and scope note.","Topic; essay type; stance; academic level; tone; length; include counterargument; include outline hooks.","Thesis suite, claim breakdown, revision checklist, outline starter, stronger/weaker comparison.","Copy thesis; copy breakdown; copy outline starter; copy all.","Claim anatomy and revision guidance make it more useful than one-line thesis tools.","Do not write deceptive academic work for submission; keep as drafting help and encourage user verification.","Confirm slug exists; ensure no unsupported facts are invented in thesis examples."
research-question-generator,Research Question Generator,AI Text & Writing Generators,"Current output likely gives broad questions without researchability checks, variables, scope, or method fit.","Add research question sets by exploratory, descriptive, comparative, causal, qualitative, quantitative, and mixed-method angles with scope and feasibility notes.","Topic; discipline; academic level; method type; question count; scope; include hypotheses; include keywords.","Research question groups, variable notes, method fit, feasibility checklist, optional hypothesis drafts.","Copy question; copy method note; copy hypothesis; copy all.","Researchability scoring and method-fit labels beat generic question lists.","Avoid fabricating citations, data, or guaranteed approval; sensitive research should follow ethics review requirements.","Confirm slug exists; verify generated questions are answerable and not too broad."
assignment-generator,Assignment Generator,AI Text & Writing Generators,"Current output likely creates a basic assignment prompt without objectives, deliverables, grading details, or student-facing instructions.","Add assignment brief with learning objectives, task overview, requirements, deliverables, timeline, submission checklist, grading criteria, and extension option.","Subject; grade level; assignment type; duration; difficulty; group/individual; include rubric; include examples.","Assignment brief, objectives, instructions, deliverables, timeline, rubric snapshot, student checklist.","Copy full assignment; copy student instructions; copy rubric; copy checklist.","Teacher-ready assignment structure with objectives and assessment criteria beats generic prompts.","Avoid official standards alignment unless provided; do not encourage plagiarism or unsafe activities.","Confirm slug exists; validate no bracket-only placeholders except labeled user-fill fields."
random-question-generator,Random Question Generator,Utility Generators,"Replacement for missing question-paper-generator; current output is probably random questions without classroom or study structure.","Add question-paper style outputs with warm-up, short answer, long answer, discussion, reflection, and answer-key guidance where relevant.","Topic; grade level; question count; question type mix; difficulty; include answer key; include discussion prompts.","Question paper draft, sectioned questions, marks/time suggestions, answer key notes, teacher review checklist.","Copy question; copy section; copy answer key; copy full paper.","Structured assessment sections make it useful for educators without needing a separate missing slug.","Keep questions educational; avoid high-stakes exam claims or official curriculum alignment.","Report as replacement; confirm slug exists; ensure answer-key text matches question type."
multiple-choice-generator,Multiple Choice Question Generator,AI Text & Writing Generators,"Current output may generate MCQs but needs explanations, distractor quality, difficulty labels, and answer-key structure.","Add MCQ quiz packs with learning objective, 4 options, correct answer, explanation, distractor rationale, difficulty, and scoring notes.","Topic; grade level; question count; difficulty; include explanations; include distractor notes; shuffle options.","Quiz overview, numbered MCQs, answer key, explanations, distractor notes, scoring guide.","Copy question; copy answer key; copy explanations; copy full quiz.","Distractor rationale and objective mapping beat simple MCQ generators.","Avoid medical/legal/financial assessment advice; do not claim official exam validity.","Confirm slug exists; verify correct answers line up with options."
worksheet-generator,Worksheet Generator,AI Text & Writing Generators,"Current output likely lacks printable structure, varied exercise types, answer keys, and teacher notes.","Add worksheet sections for instructions, vocabulary, fill-in-the-blank, matching, short answer, challenge task, answer key, and extension activity.","Subject; grade level; worksheet type; difficulty; exercise count; include answer key; include teacher notes.","Worksheet title, student instructions, exercise blocks, answer key, extension task, teacher note.","Copy worksheet; copy exercise block; copy answer key; copy all.","Printable classroom flow with answer key and extension task beats raw question lists.","Keep age-appropriate; avoid unsafe activities and official curriculum claims unless provided.","Confirm slug exists; check mobile/print readability of numbered exercises."
rubric-generator,Rubric Generator,AI Text & Writing Generators,"Current output may be a simple rubric without performance levels, point weighting, descriptors, or feedback language.","Add analytic rubric with criteria, 4 performance levels, point values, feedback stems, grading notes, and student checklist.","Assignment type; grade level; criteria count; point scale; performance levels; include feedback stems; include student checklist.","Rubric table-style sections, criteria descriptors, scoring summary, feedback phrases, student checklist.","Copy criterion; copy rubric; copy feedback stems; copy checklist.","Point-weighted descriptors and feedback stems beat generic rubric grids.","Avoid claiming official grading compliance; teacher should review for context and fairness.","Confirm slug exists; validate point totals are coherent."
meeting-agenda-generator,Meeting Agenda Generator,Business & Brand Generators,"Current output likely creates a simple agenda list without timeboxing, goals, attendees, decisions, or follow-up structure.","Add agenda packs with objective, attendee roles, timed sections, discussion prompts, decision log, action-item template, and prep notes.","Meeting type; duration; audience; priority; include prep; include decision log; include action items.","Agenda overview, timed agenda, prep checklist, discussion prompts, decision/action templates.","Copy agenda; copy prep checklist; copy action table; copy all.","Timeboxed facilitation structure and action capture beat a generic agenda outline.","Do not imply legal/HR compliance; keep as meeting planning draft.","Confirm slug exists; verify total agenda time respects selected duration."
minutes-of-meeting-generator,Minutes Of Meeting Generator,Business Generators,"Replacement for missing meeting-minutes-generator; current output may be generic notes without decisions, action owners, or follow-up clarity.","Add professional minutes with meeting metadata, attendees, summary, decisions, discussion notes, action items, risks, parking lot, and next meeting section.","Meeting type; tone; detail level; include action table; include decisions; include parking lot; include follow-up email.","Minutes document, decision log, action-item table, follow-up summary, review checklist.","Copy minutes; copy action items; copy follow-up; copy decisions.","Action-owner structure and follow-up-ready summary beat raw meeting notes.","Avoid official corporate record claims; users must verify names, decisions, and obligations.","Report as replacement; confirm slug exists; validate action tables stay readable."
