slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
twitter-bio-generator,Twitter Bio Generator,"Current output likely provides generic profile lines without X/Twitter length awareness, creator/business distinctions, or platform-specific tone labels.","Add platform-specific bio variations: concise professional, creator, founder, funny, niche expert, CTA-focused, emoji-light, and keyword-rich with character counts.","niche; account type; tone; emoji level; CTA type; include keywords; length target","Bio variation grid with style label, bio text, character count, platform-fit note, and optional CTA variant.","copy bio; copy all; copy CTA variant; regenerate style","X/Twitter-specific character counts, tone labels, and follow/CTA positioning beat generic bio lists.","Avoid impersonation, fake credentials, unsafe claims, spammy follow-bait, or deceptive authority wording.","Replacement chosen for missing twitter-x-bio-generator. Slug exists."
linkedin-bio-generator,LinkedIn Bio Generator,"Current output likely gives broad professional bios without LinkedIn-specific positioning, headline-summary split, or credibility-safe variants.","Add LinkedIn-ready summary variants: executive, job seeker, consultant, creator, founder, recruiter-friendly, short About, and keyword-rich version with credibility prompts.","role; industry; seniority; tone; job-search mode; include CTA; length target","LinkedIn profile suite with headline idea, About summary, credibility-safe proof slots, CTA line, and character/length notes.","copy summary; copy headline; copy CTA; copy full profile block","Separates headline, About, proof, and CTA instead of one generic paragraph, making it profile-ready.","Do not invent employers, degrees, certifications, revenue numbers, awards, or endorsements.","Slug exists. Implement as platform-specific bio suite."
facebook-post-generator,Facebook Post Generator,"Current output likely produces generic social captions without format variety, audience intent, or engagement structure.","Add post formats: short update, story-style, promotional, educational, CTA, engagement question, community post, and event/update style.","topic; audience; tone; post goal; length; emoji level; CTA type","Grouped social post cards with format label, post text, best-use note, and optional CTA/hashtag line.","copy post; copy CTA; copy group; copy all","Facebook-specific engagement structures and community prompts beat one-size social copy.","Avoid engagement bait, deceptive claims, unsafe advice, fake giveaways, and manipulative urgency.","Slug exists. Implement as social post format matrix."
social-media-post-generator,Social Media Post Generator,"Current output likely gives generic posts without platform/channel adaptation or distinct post jobs.","Add multi-platform post formats: short, story-style, promotional, educational, CTA, engagement question, LinkedIn-style, Instagram-style, X-style.","topic; platform; audience; tone; goal; length; emoji level; hashtag count","Platform-aware post pack with format labels, post body, platform note, CTA, and hashtag suggestions.","copy post; copy platform variant; copy hashtag block; copy all","Cross-platform adaptation and format grouping beat generic caption generators.","Avoid unsafe claims, spammy hashtag stuffing, fake scarcity, and deceptive engagement tactics.","Slug exists. Implement as general social post suite distinct from Facebook-specific tool."
product-description-generator,Product Description Generator,"Current output likely returns a single product paragraph and broad bullets, not ecommerce-ready modular copy.","Add ecommerce sections: product title, short description, long description, feature bullets, benefit bullets, SEO description, use cases, specs placeholders, marketplace-safe variant.","product name; audience; tone; marketplace; length; feature count; SEO keyword; include specs","Ecommerce copy suite with title, bullets, benefits, short/long versions, SEO meta-style description, and copyable sections.","copy title; copy bullets; copy short description; copy long description; copy SEO description; copy all","Marketplace-ready modular output beats one long product paragraph.","Avoid fake reviews, fake guarantees, unverified certifications, health/financial claims, and invented specs.","Slug exists. Implement as ecommerce document_template_generator."
email-subject-generator,Email Subject Generator,"Current output likely gives flat subject line ideas without campaign intent, preview text, or subject-type grouping.","Add subject groups: curiosity, direct, urgency, newsletter, sales, follow-up, re-engagement, announcement, plus preview text suggestions.","campaign topic; audience; email type; tone; urgency; personalization; length target","Subject-line group cards with subject, preview text, intent label, length note, and spam-risk note.","copy subject; copy preview text; copy pair; copy group; copy all","Subject plus preview-text pairing and spam-risk notes beat raw subject lists.","Avoid deceptive urgency, fake personalization, misleading RE/FWD, spammy punctuation, and false scarcity.","Replacement chosen for missing email-subject-line-generator. Slug exists."
newsletter-name-generator,Newsletter Name Generator,"Current output may generate names but needs stronger newsletter-specific grouping by niche, tone, and positioning.","Add niche-based name groups, tone categories, tagline ideas, audience promise, platform fit notes, and availability reminder.","niche; audience; tone; format; frequency; name length; include tagline","Newsletter naming suite with category groups, names, tagline, positioning note, and best-use label.","copy name; copy tagline; copy name+tagline; copy group","Newsletter-specific positioning and tagline pairing beat generic name generators.","Avoid claiming name/domain/social availability; avoid copying real publication names.","Slug exists. Already has some options; pass 3 should upgrade output format."
brand-kit-generator,Brand Kit Generator,"Current output likely gives generic brand suggestions without visual/system structure or reusable brand foundations.","Add brand kit sections: color palette, font pairing, logo direction, voice, tone words, tagline ideas, brand adjectives, do/don't messaging, audience promise.","business/brand name; industry; audience; tone; palette mood; font style; tagline style","Brand kit board with swatches/text color values, font roles, voice cards, tagline options, adjectives, and messaging notes.","copy palette; copy fonts; copy voice guide; copy tagline; copy all","Combines visual identity and verbal identity in one structured kit instead of generic branding advice.","Avoid trademark claims, copied brand identities, fake legal clearance, and inaccessible color certainty without testing.","Slug exists. Implement as color_palette_visual plus writing sections hybrid."
business-card-generator,Business Card Generator,"Current output likely produces generic business-card copy without layout variants or contact/role hierarchy.","Add business card layouts: minimal, corporate, creative, consultant, QR/contact variant, front/back copy blocks, role/title/contact variants, tagline options.","name; role; company; contact fields; layout style; tone; include QR placeholder; card side","Business card layout suite with front copy, back copy, contact hierarchy, tagline, and layout notes.","copy front; copy back; copy contact block; copy full card","Layout-aware copy blocks and hierarchy guidance beat plain contact text.","Do not generate fake QR codes or claim print-ready dimensions without export support; keep contact placeholders user-editable.","Slug exists. Implement as document_template_generator with layout preview-style cards."
customer-persona-generator,Customer Persona Generator,"Current output likely gives a generic persona paragraph rather than actionable persona cards for marketing and product decisions.","Add structured persona cards with demographics, goals, pain points, objections, buying triggers, channels, messaging angle, content ideas, and offer fit.","product/audience; market; persona count; B2B/B2C; awareness level; tone; include objections","Persona card grid with name/archetype, context, goals, pain points, objections, channels, messaging angle, and CTA/content recommendation.","copy persona; copy messaging angle; copy objections; copy all","Actionable marketing fields and objections/channels beat generic persona descriptions.","Avoid stereotyping protected traits, sensitive inference, manipulative targeting, and unverifiable demographic assumptions.","Slug exists. Implement as utility/writing structured persona cards."
