row_type,slug,task,verdict,robots,googlebot,merge_redirect_recommended,merge_redirect_target,final_reason,next_action
summary,,batch_3_total,complete,,,false,,"Batch 3 reviewed the next unresolved 10 tools from artifacts/remaining_42_noindex_final_action_plan.csv after Batch 1 and Batch 2.","No source changes; no noindexToolSlugs changes; no indexing."
summary,,approved_tools,complete,,,false,,"No tools approved for indexing in this batch.","Keep all 10 tools noindex."
summary,,merge_redirect_candidates,complete,,,true,"/tools/hashtag-generator/; generic tag/fandom writing target TBD; /tools/villain-name-generator/; /tools/scifi-name-generator/; /tools/fancy-text-generator/","Merge/redirect or canonical cleanup is recommended for platform hashtag overlap and brand/IP/fandom overlap, but not as indexing approval.","Evaluate cleanup in a separate implementation pass."
summary,,all_10_noindex_follow,pass,"noindex, follow","noindex, follow",false,,"All 10 generated pages render robots and googlebot noindex, follow.","No action required."
tool,roast-generator,final_resolution,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Roast tooling remains bullying, humiliation, harassment, and targeted-abuse sensitive despite safer framing.","Keep permanently noindex."
tool,x-post-generator,final_resolution,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",false,,"Platform post generation remains spam, misinformation, harassment, affiliate/ad, deceptive engagement, and reach/performance-risk sensitive.","Keep permanently noindex unless transformed into a compliance-first editorial drafting tool with a future audit."
tool,instagram-hashtag-generator,final_resolution,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains spam, reach/ranking, banned-tag, platform-affiliation, and deceptive engagement sensitive; it also overlaps with the broader hashtag generator.","Keep noindex; consider merge/canonical/redirect cleanup to the broader hashtag workflow."
tool,tiktok-hashtag-generator,final_resolution,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains trend-abuse, spam, reach/ranking, monetization-claim, and deceptive engagement sensitive; it also overlaps with the broader hashtag generator.","Keep noindex; consider merge/canonical/redirect cleanup to the broader hashtag workflow."
tool,facebook-hashtag-generator,final_resolution,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains platform/spam/reach-abuse sensitive and lacks approval-to-index evidence; it also overlaps with the broader hashtag generator.","Keep noindex; consider merge/canonical/redirect cleanup to the broader hashtag workflow."
tool,ao3-tag-generator,final_resolution,merge_or_redirect_candidate,"noindex, follow","noindex, follow",true,"TBD generic tag or fan-writing target","AO3/platform/fandom tag tooling is brand/platform/fandom adjacent and can imply unofficial affiliation, metadata abuse, or archive discoverability signals.","Prefer merge/redirect/canonical cleanup over standalone indexing."
tool,sith-name-generator,final_resolution,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/villain-name-generator/","Protected franchise/IP name tool with unofficial affiliation and brand-signal risk.","Keep noindex; optional redirect/canonical cleanup to generic villain naming."
tool,star-wars-name-generator,final_resolution,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/scifi-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk.","Keep noindex; optional redirect/canonical cleanup to generic sci-fi naming."
tool,star-wars-text-generator,final_resolution,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected franchise/IP text-style tool with unofficial affiliation risk.","Keep noindex; optional redirect/canonical cleanup to generic fancy text styling."
tool,dark-souls-text-generator,final_resolution,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk.","Keep noindex; optional redirect/canonical cleanup to generic fancy text styling."
