slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
"password-generator","Password Generator","Current output likely creates passwords but may not present mode-specific options, strength notes, or copyable variants clearly.","Add premium password output modes: random password, passphrase, PIN, memorable password, pronounceable password, character set toggles, strength notes, and safe handling reminders.","length; include uppercase; include lowercase; include numbers; include symbols; exclude ambiguous; mode; count","Security utility panel with generated variants, mode labels, strength notes, character composition, and safety guidance.","copy password; copy passphrase; copy PIN; copy all; regenerate","Mode-specific generation with strength guidance beats a single raw password list.","Do not store or transmit passwords. Avoid claiming perfect security. Encourage password manager use and unique passwords per account.","Slug exists. Selected for high-value utility intent."
"qr-code-generator","QR Code Generator","Current output likely provides basic QR-related text without content-type templates, export guidance, or scannability notes.","Support QR content types where feasible: URL, text, WiFi, email, SMS, vCard/contact, event note, color/logo usage note, and copy/download-friendly structured payload.","content type; URL/text; WiFi SSID/security; email; phone/SMS; vCard fields; error correction; color note","QR payload builder with content-type tabs/sections, structured encoded text, preview/export note, and scannability checklist.","copy payload; copy WiFi string; copy vCard; copy all; download/copy if renderer supports it","Content-type-specific payloads and scan guidance beat generic QR text output.","Do not claim a logo/color QR is scannable without testing. Avoid fake contact data. Warn users to test before printing.","Slug exists. Selected for utility/visual intent."
"email-signature-generator","Email Signature Generator","Current output likely gives a generic signature block without HTML/plain text variants, social/contact controls, or professional layouts.","Generate professional signature suite with plain text signature, HTML signature, compact signature, executive style, freelancer style, social/contact rows, legal disclaimer note.","name; role; company; phone; website; email; social links; layout style; include disclaimer","Signature generator output with copyable plain text, copyable HTML, compact/mobile variant, and usage notes.","copy plain text; copy HTML; copy compact signature; copy contact block; copy all","HTML plus plain-text signature blocks and role-specific layouts beat one generic signature.","Do not add fake certifications, legal disclaimers, or compliance claims. Keep user-provided contact fields editable.","Slug exists. Selected for business/communication value."
"invoice-generator","Invoice Generator","Current output likely uses placeholder line items and static totals without structured invoice sections or clear calculation boundaries.","Generate invoice sections: sender, client, invoice number/date/due date, item rows, subtotal, tax/discount placeholders, total, payment terms, notes, and copyable invoice text.","business name; client name; currency; tax rate; payment terms; due date; item count; include notes","Structured invoice document with labeled sections, editable item rows, totals summary, payment terms, and notes.","copy invoice; copy item table; copy payment terms; copy all","Invoice-ready sections and calculation-safe placeholders beat a single static template.","No legal/tax/accounting claims. Remind users to verify tax rates, invoice rules, and totals before sending.","Slug exists. Selected for business utility intent."
"privacy-policy-generator","Privacy Policy Generator","Current output likely drafts a generic policy without structured sections, business context, or strong legal disclaimer.","Generate structured privacy policy draft sections: intro, data collected, use of data, cookies, analytics, sharing, retention, user rights, contact, effective date.","site/app name; business type; region; data types; cookies; analytics; ads; newsletter; contact email","Legal template-style policy with copyable sections, full draft, and compliance checklist note.","copy section; copy full policy; copy contact clause; copy all","Context-aware section drafting beats a broad one-size template.","Templates only, not legal advice. Do not claim GDPR/CCPA/CPRA compliance without legal review.","Slug exists. Selected for legal/policy intent."
"terms-generator","Terms Generator","Current output likely provides generic terms language and may lack product-specific sections or clear disclaimer.","Generate structured terms draft sections: acceptance, account use, acceptable use, payments, refunds, intellectual property, disclaimers, limitation of liability, termination, contact.","site/app name; business type; user accounts; payments; subscriptions; refunds; jurisdiction placeholder; contact email","Terms template with labeled clauses, copyable sections, full draft, and review checklist.","copy section; copy full terms; copy acceptable-use clause; copy all","Clause-by-clause terms builder beats one generic block.","Templates only, not legal advice. Do not claim enforceability or jurisdiction-specific compliance without attorney review.","Replacement chosen for missing terms-and-conditions-generator. Slug exists."
"meta-description-generator","Meta Description Generator","Current output likely returns a small set of descriptions without SERP length guidance or intent variants.","Generate SEO-safe meta description variants by intent: informational, commercial, local, product, blog, concise, and CTA-style with character counts.","page topic; search intent; tone; target keyword; max length; brand name; CTA strength","Grouped meta description cards with text, character count, intent label, and best-use note.","copy description; copy group; copy all","Intent-labeled descriptions with live length counts beat raw meta text lines.","Avoid keyword stuffing, misleading promises, fake rankings, or guaranteed SEO outcomes.","Slug exists. Selected for SEO intent."
"seo-title-generator","SEO Title Generator","Current output likely creates generic SEO titles and is the existing replacement for the missing meta title slug.","Generate meta title variants by intent: exact keyword, benefit-led, how-to, listicle, local, product, brand-first, and concise with pixel/character-safe notes.","target keyword; page type; brand name; intent; title length; include year; tone","SEO title card grid with title, character count, SERP note, and best-use label.","copy title; copy group; copy all","SERP-aware title categories and length notes beat generic title lists.","Avoid clickbait, fake current-year claims if not relevant, guaranteed ranking language, or competitor trademark misuse.","Replacement chosen for missing meta-title-generator. Slug exists."
"schema-tag-generator","Schema Tag Generator","Current output likely produces one generic schema snippet rather than type-specific JSON-LD drafts.","Generate JSON-LD drafts for common schema types: WebSite, Organization, LocalBusiness, Article, Product, FAQPage, BreadcrumbList, and HowTo where feasible.","schema type; site/business name; URL; description; logo URL; contact; article details; product details","Structured code output with selected schema JSON-LD, alternate schema cards, required fields checklist, and validation note.","copy JSON-LD; copy selected schema; copy checklist; copy all","Schema-type-specific drafts with validation checklist beat generic schema code.","Do not claim rich results eligibility. Remind users to validate in Google Rich Results Test or Schema.org validator.","Replacement chosen for missing schema-markup-generator. Slug exists."
"robots-txt-generator","Robots.txt Generator","Current output likely creates a simple robots.txt without safe presets, sitemap line, or blocking warnings.","Generate robots.txt templates: basic allow all, block admin/private paths, staging noindex caution, crawler-specific rules, sitemap line, and warning checklist.","site URL; sitemap URL; preset; blocked paths; crawler target; crawl delay; allow/disallow mode","Robots.txt output with safe preset, directives, sitemap line, warning notes, and copyable sections.","copy robots.txt; copy sitemap line; copy blocked paths; copy all","Safe presets and warnings for accidental blocking beat a raw robots.txt snippet.","Warn that robots.txt is public and not security. Avoid blocking important assets accidentally. Recommend testing in Search Console.","Slug exists. Selected for SEO/developer utility intent."
