url,msg_type,text
"https://taptogen.vercel.app/tools/story-plot-generator/","error","[2026-07-16T21:12:31.377Z] [ERROR]: No configuration found for workspace ""story-plot-generator"""
"https://taptogen.vercel.app/tools/character-name-generator/","error","[2026-07-16T21:12:32.807Z] [ERROR]: No configuration found for workspace ""character-name-generator"""
"https://taptogen.vercel.app/tools/art-tag-generator/","error","[2026-07-16T21:12:34.335Z] [ERROR]: No configuration found for workspace ""art-tag-generator"""
"https://taptogen.vercel.app/tools/cipher-generator/","error","[2026-07-16T21:12:37.370Z] [ERROR]: No configuration found for workspace ""cipher-generator"""
"https://taptogen.vercel.app/tools/art-tag-generator/","error","[2026-07-16T21:12:38.402Z] [ERROR]: [ErrorReporter] Captured Exception: buildPass24UtilitySections is not defined ReferenceError: buildPass24UtilitySections is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:317:335)"
"https://taptogen.vercel.app/tools/art-tag-generator/","exception","ReferenceError: buildPass24UtilitySections is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:317:335)"
"https://taptogen.vercel.app/tools/character-name-generator/","error","[2026-07-16T21:12:38.534Z] [ERROR]: [ErrorReporter] Captured Exception: renderPremiumOutput is not defined ReferenceError: renderPremiumOutput is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:453)"
"https://taptogen.vercel.app/tools/character-name-generator/","exception","ReferenceError: renderPremiumOutput is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:453)"
"https://taptogen.vercel.app/tools/character-name-generator/","error","[2026-07-16T21:12:39.113Z] [ERROR]: [ErrorReporter] Captured Exception: copyText is not defined ReferenceError: copyText is not defined
    at HTMLButtonElement.<anonymous> (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:1292)"
"https://taptogen.vercel.app/tools/character-name-generator/","exception","ReferenceError: copyText is not defined
    at HTMLButtonElement.<anonymous> (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:1292)"
"https://taptogen.vercel.app/tools/art-tag-generator/","error","[2026-07-16T21:12:39.114Z] [ERROR]: [ErrorReporter] Captured Exception: copyText is not defined ReferenceError: copyText is not defined
    at HTMLButtonElement.<anonymous> (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:1292)"
"https://taptogen.vercel.app/tools/art-tag-generator/","exception","ReferenceError: copyText is not defined
    at HTMLButtonElement.<anonymous> (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:1292)"
"https://taptogen.vercel.app/tools/art-tag-generator/","error","Failed to copy link:  NotAllowedError: Failed to execute 'writeText' on 'Clipboard': Write permission denied."
"https://taptogen.vercel.app/tools/character-name-generator/","error","Failed to copy link:  NotAllowedError: Failed to execute 'writeText' on 'Clipboard': Write permission denied."
"https://taptogen.vercel.app/tools/story-plot-generator/","error","[2026-07-16T21:12:39.836Z] [ERROR]: [ErrorReporter] Captured Exception: renderPremiumOutput is not defined ReferenceError: renderPremiumOutput is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:453)"
"https://taptogen.vercel.app/tools/story-plot-generator/","exception","ReferenceError: renderPremiumOutput is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:453)"
"https://taptogen.vercel.app/tools/story-plot-generator/","error","[2026-07-16T21:12:42.287Z] [ERROR]: [ErrorReporter] Captured Exception: copyText is not defined ReferenceError: copyText is not defined
    at HTMLButtonElement.<anonymous> (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:1292)"
"https://taptogen.vercel.app/tools/story-plot-generator/","exception","ReferenceError: copyText is not defined
    at HTMLButtonElement.<anonymous> (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:1292)"
"https://taptogen.vercel.app/tools/cipher-generator/","error","[2026-07-16T21:12:42.357Z] [ERROR]: [ErrorReporter] Captured Exception: renderPremiumOutput is not defined ReferenceError: renderPremiumOutput is not defined
    at HTMLButtonElement.De (https://taptogen.vercel.app/_astro/LocalizedToolPage.astro_astro_type_script_index_0_lang.BNqrhmGs.js:4124:453)"
